,TELDA,QUARTER,REV SME - POTS - TARGET,REV SME - NON POTS - TARGET,REV GOV - TARGET,REV PS - TARGET,REV SOE - TARGET,HSI ALL SEGMENT- TARGET,BW-TARGET,OCA-TARGET,NETMONK-TARGET,EAZY-TARGET,PIJAR SEKOLAH-TARGET,C3MR-TARGET,LTS-TARGET,VISIT-TARGET,REV SME - POTS - REALIASASI,REV SME - NON POTS - REALIASASI,REV GOV - REALIASASI,REV PS - REALIASASI,REV SOE - REALIASASI,HSI ALL SEGMENT- REALIASASI,BW-REALIASASI,OCA-REALIASASI,NETMONK-REALIASASI,EAZY-REALIASASI,PIJAR SEKOLAH-REALIASASI,C3MR-REALIASASI,LTS-REALIASASI,VISIT-REALIASASI,REV SME - POTS - ACH,REV SME - NON POTS - ACH,REV GOV - ACH,REV PS - ACH,REV SOE - ACH,HSI ALL SEGMENT- ACH,BW-ACH,OCA-ACH,NETMONK-ACH,EAZY-ACH,PIJAR SEKOLAH-ACH,C3MR-ACH,LTS-ACH,VISIT-ACH,REV SME - POTS - POINT,REV SME - NON POTS - POINT,REV GOV - POINT,REV PS - POINT,REV SOE - POINT,HSI ALL SEGMENT- POINT,BW-POINT,OCA-POINT,NETMONK-POINT,EAZY-POINT,PIJAR SEKOLAH-POINT,C3MR-POINT,LTS-POINT,VISIT-POINT,TOTAL POINT,RANK
0, BATU ,Q1,5712305265,895639548,222305848,2311140268,388322002,251,1287,6,58,24,3,98%,56%,100%,5778749023,661238120,119810431,1328333779,223286649,299,1588,4,56,12,1,68.29%,78.86%,1588,101.16%,73.83%,53.89%,57.48%,57.50%,110.00%,110.00%,66.67%,96.55%,50.00%,33.33%,69.69%,71.01%,110.00%,35.41,3.69,2.69,2.87,2.88,22,5.5,1.33,2.9,1.5,0.67,3.48,2.13,2.2,89.25,3
1, BLITAR ,Q1,4688302405,692505249,743744126,123114974,412698392,198,1341,6,46,19,  - ,98%,56%,100%,4603207703,440631614,792053775,187475184,376375221,292,310,3,19,5,0,63.55%,78.62%,310,98.18%,63.63%,106.50%,110.00%,91.20%,110.00%,23.12%,50.00%,41.30%,26.32%,0.00%,64.85%,71.23%,110.00%,34.36,3.18,5.32,5.5,4.56,22,1.16,1,1.24,0.79,0,3.24,2.14,2.2,86.69,5
2, BOJONEGORO ,Q1,3722847771,598207731,607747633,80395464,238247896,204,1308,6,48,20,  - ,98%,56%,100%,3532027702,346812895,690920018,160893217,470399433,230,235,1,13,6,0,83.57%,76.37%,235,94.87%,57.98%,110.00%,110.00%,110.00%,110.00%,17.97%,16.67%,27.08%,30.00%,0.00%,85.27%,73.33%,110.00%,33.21,2.9,5.5,5.5,5.5,22,0.9,0.33,0.81,0.9,0,4.26,2.2,2.2,86.21,6
3, KEDIRI ,Q1,5943637832,879201700,1425112561,1646487565,446282237,251,1499,6,58,24,3,98%,56%,100%,5781505132,472039736,1367524894,1462471548,307340013,324,2505,3,36,16,0,62.54%,73.33%,2505,97.27%,53.69%,95.96%,88.82%,68.87%,110.00%,110.00%,50.00%,62.07%,66.67%,0.00%,63.82%,76.37%,110.00%,34.05,2.68,4.8,4.44,3.44,22,5.5,1,1.86,2,0,3.19,2.29,2.2,89.46,2
4, MADIUN ,Q1,3767720813,989059814,1803536358,168844707,884292623,212,1527,6,49,20,3,98%,56%,100%,3476006291,664757356,1416093040,253424661,975629386,248,503,4,28,3,1,59.39%,77.47%,503,92.26%,67.21%,78.52%,110.00%,110.00%,110.00%,32.93%,66.67%,57.14%,15.00%,33.33%,60.60%,72.28%,110.00%,32.29,3.36,3.93,5.5,5.5,22,1.65,1.33,1.71,0.45,0.67,3.03,2.17,2.2,85.79,7
5, MALANG ,Q1,7459084395,1230441943,1774056932,2146625665,4506628486,320,2211,8,75,31,3,98%,56%,100%,7430102269,1159379501,1056818475,2134908532,3574758695,325,1761,2,25,17,2,81.12%,66.67%,1761,99.61%,94.22%,59.57%,99.45%,79.32%,101.56%,79.64%,25.00%,33.33%,54.84%,66.67%,82.77%,83.99%,110.00%,34.86,4.71,2.98,4.97,3.97,20.31,3.98,0.5,1,1.65,1.33,4.14,2.52,2.2,89.12,4
6, NGANJUK ,Q1,3414032899,423547452,358730812,45924755,158267666,161,732,4,38,16,  - ,98%,56%,100%,3312027660,271565717,421249915,97863544,178055069,220,855,5,35,6,0,77.37%,78.99%,855,97.01%,64.12%,110.00%,110.00%,110.00%,110.00%,110.00%,110.00%,92.11%,37.50%,0.00%,78.95%,70.90%,110.00%,33.95,3.21,5.5,5.5,5.5,22,5.5,2.2,2.76,1.13,0,3.95,2.13,2.2,95.52,1
7, PONOROGO ,Q1,3738647862,564166782,587815145,71077141,269552085,198,847,4,46,19,1,98%,56%,100%,3479908927,429450651,770772847,83724920,177444005,225,620,1,13,2,0,62.50%,73.53%,620,93.08%,76.12%,110.00%,110.00%,65.83%,110.00%,73.16%,25.00%,28.26%,10.53%,0.00%,63.78%,76.16%,110.00%,32.58,3.81,5.5,5.5,3.29,22,3.66,0.5,0.85,0.32,0,3.19,2.28,2.2,85.67,8
8, BATU ,Q2,5854572669,917945834,320612893,2522416210,432054059,272,1534,7,63,26,3,98%,56%,100%,5729458641,706426497,335892737,1949289115,214786739,136,410,6,7,4,0,105.74%,79.02%,410,97.86%,76.96%,104.77%,77.28%,49.71%,50.00%,26.72%,85.71%,11.11%,15.38%,0.00%,107.90%,70.87%,110.00%,34.25,3.85,5.24,3.86,2.49,10,1.34,1.71,0.33,0.46,0,5.39,2.13,2.2,73.25,6
9, BLITAR ,Q2,4805066580,709752389,1072639151,134369692,459175670,213,1217,6,48,20,  - ,98%,56%,100%,4812706091,451022810,1272463783,160632547,367402193,102,60,5,15,14,0,135.42%,77.92%,60,100.16%,63.55%,110.00%,110.00%,80.01%,47.89%,4.93%,83.33%,31.25%,70.00%,0.00%,110.00%,71.87%,110.00%,35.06,3.18,5.5,5.5,4,9.58,0.25,1.67,0.94,2.1,0,5.5,2.16,2.2,77.62,2
